,bios,fullnames,usernames
0,snapchat:  robphuckedme,ROBERT KARDASHIAN,robkardashian
1,http://kyliecosmetics.com  http://KylieJennerShop.com ,Kylie Jenner,KylieJenner
2,"MOM, MANAGER, MOMAGER, LOVER OF LIFE, LOVER OF CHRIST",Kris Jenner,KrisJenner
3,Get my official app #unlockmyworld http://AppStore.com/KhloeKardashian ,Khloé,khloekardashian
4,,Kendall,KendallJenner
5,,Kourtney Kardashian,kourtneykardash
6,,Kim Kardashian West,KimKardashian
7,1997 Bowling Digest Co-Bowler of the Year  http://Facebook.com/JimmyKimmel ,Jimmy Kimmel,jimmykimmel
8,,Oprah Winfrey,Oprah
9,"Comedian, talk show host and ice road trucker. My tweets are real, and they’re spectacular.",Ellen DeGeneres,TheEllenShow
10,"Singer, Songwriter, Actress, Entrepreneur, Philanthropist  #Sober: http://demilovato.co/sober ",Demi Lovato,ddlovato
11,Get 'Back To You' out now: http://smarturl.it/backtoyousg ,Selena Gomez,selenagomez
12,"The Canadian Space Agency coordinates all civil, space-related programs on behalf of the Government of Canada. Terms: http://bit.ly/1KcFPYP  (Français @asc_csa)",CanadianSpaceAgency,csa_asc
13,Welcome to Destination Canada's consumer account. Use #ExploreCanada and we’ll RT our faves. Compte en français: https://twitter.com/ExplorezSansFin ,Canada,ExploreCanada
14,Showcasing Canada to the world - français: @AuCanada - http://international.gc.ca/socialmedia ,Canada,Canada
15,45th President of the United States of America,Donald J. Trump,realDonaldTrump
16,末日重生，第二人生，我是五月天阿信。,五月天 阿信,AShinOfficial
17,Asian rock band.  http://www.bin-music.com/events/mayday/2017MaydayLiFE/ …,五月天 Mayday,Mayday_EN
